source,target,sign
XMetab__123991___c____,XGene0__10993,1
XGene0__10993,XMetab__1060___c____,1
XMetab__215___c____,XGene0__8639,1
XGene0__8639,XMetab__880___c____,1
XMetab__750___m____,XGene0__212,1
XMetab__92133___m____,XGene0__212,1
XGene0__212,XMetab__137___m____,1
XMetab__750___m____,XGene0__23464,1
XMetab__92133___m____,XGene0__23464,1
XGene0__23464,XMetab__137___m____,1
XMetab__750___m____,XGene0__211,1
XMetab__92133___m____,XGene0__211,1
XGene0__211,XMetab__137___m____,1
XMetab__750___m____,XGene0__211>1,1
XMetab__92133___m____,XGene0__211>1,1
XGene0__211>1,XMetab__137___m____,1
XMetab__440033___m____,XGene0__AOBUTDsm,1
XGene0__AOBUTDsm,XMetab__215___m____,1
XMetab__249___m____,XGene0__BETALDHxm,1
XGene0__BETALDHxm,XMetab__247___m____,1
XMetab__91552___c____,XGene0__23743,1
XMetab__247___c____,XGene0__23743,1
XGene0__23743,XMetab__673___c____,1
XGene0__23743,XMetab__6137___c____,1
XMetab__91552___c____,XGene0__635,1
XMetab__247___c____,XGene0__635,1
XGene0__635,XMetab__673___c____,1
XGene0__635,XMetab__6137___c____,1
XMetab__305___m____,XGene0__55349,1
XGene0__55349,XMetab__249___m____,1
XMetab__673___m____,XGene0__29958,1
XGene0__29958,XMetab__1088___m____,1
XMetab__750___m____,XGene0__275_1738_2731_2653,1
XMetab__863___m____,XGene0__275_1738_2731_2653,1
XGene0__275_1738_2731_2653,XMetabalpam_m,1
XMetabalpam_m,XGene0__275_1738_2731_2653>2,1
XGene0__275_1738_2731_2653>2,XMetab__135398652___m____,1
XGene0__275_1738_2731_2653>2,XMetab__663___m____,1
XMetab__663___m____,XGene0__275_1738_2731_2653>3,1
XGene0__275_1738_2731_2653>3,XMetab__863___m____,1
XMetab__750___m____,XGene0__275_1738_2731_2653>4,1
XMetab__sid5140___m____,XGene0__275_1738_2731_2653>4,1
XGene0__275_1738_2731_2653>4,XMetab__sid4463___m____,1
XMetab__sid4463___m____,XGene0__275_1738_2731_2653>5,1
XGene0__275_1738_2731_2653>5,XMetab__135398652___m____,1
XGene0__275_1738_2731_2653>5,XMetab__sid5884___m____,1
XMetab__sid5884___m____,XGene0__275_1738_2731_2653>6,1
XGene0__275_1738_2731_2653>6,XMetab__sid5140___m____,1
XMetab__5951___m____,XGene0__6472,1
XGene0__6472,XMetab__750___m____,1
XGene0__6472,XMetab__135398652___m____,1
XMetab__5951___m____,XGene0__6470,1
XGene0__6470,XMetab__750___m____,1
XGene0__6470,XMetab__135398652___m____,1
XMetab__444493___m____,XGene0__23464>7,1
XMetab__750___m____,XGene0__23464>7,1
XGene0__23464>7,XMetab__440033___m____,1
XMetab__750___x____,XGene0__GLYOp,1
XGene0__GLYOp,XMetab__760___x____,1
XMetab__34755___c____,XGene0__27232,1
XMetab__750___c____,XGene0__27232,1
XGene0__27232,XMetab__439155___c____,1
XGene0__27232,XMetab__1088___c____,1
XMetab__439183___c____,XGene0__26227,1
XGene0__26227,XMetab__105___c____,1
XMetab__1088___x____,XGene0__51268,1
XGene0__51268,XMetab__750___x____,1
XMetab__5951___c____,XGene0__10993>8,1
XGene0__10993>8,XMetab__123991___c____,1
XMetab__249___c____,XGene0__501,1
XGene0__501,XMetab__247___c____,1
XGene0__501_reverse,XMetab__249___c____,1
XMetab__247___c____,XGene0__501_reverse,1
XMetab__249___c____,XGene0__501>9,1
XGene0__501>9,XMetab__247___c____,1
XGene0__501>9_reverse,XMetab__249___c____,1
XMetab__247___c____,XGene0__501>9_reverse,1
XMetab__9549326___m____,XGene0__10249,1
XMetab__750___m____,XGene0__10249,1
XGene0__10249,XMetabCE2026_m,1
XMetab__165435___m____,XGene0__10249>10,1
