target_genesymbol,source_genesymbol,sign
LCT,CDX2,1
LCT,POU2F1,1
VIP,STAT3,1
PTN,HOXA5,1
PGR,HOXA5,1
SERPINE1,SMAD2,1
SMAD7,SMAD2,1
RARB,RARB,1
SOCS1,STAT6,1
OSM,STAT5B,1
PTEN,NR2E1,-1
IGFBP1,FOXO4,1
RBL2,FOXO4,1
BCL2L11,FOXO4,1
BCL6,FOXO4,1
APOA1,NR2F2,-1
SOD2,FOXO3,1
TNFSF10,FOXO3,1
BCL2L11,FOXO3,1
WT1,PAX8,1
FOXM1,MYC,1
MYC,FOXM1,1
CDH1,TWIST1,-1
SIRT1,HIC1,-1
ACKR3,HIC1,-1
AKR1C4,HNF4G,1
CYP1A1,AHR,1
CYP1B1,AHR,1
KLK3,AR,1
CDC6,AR,1
CDH2,AR,1
DBI,AR,1
DHX15,AR,1
EGFR,AR,1
FKBP5,AR,1
AR,FOXO3,1
IGF1R,AR,1
AR,JUN,-1
JUN,AR,1
NFKB1,AR,-1
AR,NFKB1,-1
SERPINB5,AR,-1
PRKCD,AR,1
SNAI2,AR,1
SMS,AR,1
TMPRSS2,AR,1
AR,NCOR1,1
AR,NCOR2,1
NCOA2,AR,-1
AR,NCOA2,-1
AR,LEF1,1
KIAA1217,AR,-1
PMEPA1,AR,1
CYP1B1,ARNT,1
PCSK6,ASCL1,-1
MUC5AC,ZFHX3,-1
TGFB2,ATF1,1
ASNS,ATF3,1
LDLR,ATF3,-1
CEBPB,ATF4,1
BIRC5,KLF5,1
ESR1,RUNX2,-1
IBSP,RUNX2,1
MUC2,CDX2,1
UGT1A10,CDX2,1
UGT1A8,CDX2,1
F9,CEBPA,1
HP,CEBPA,1
IGF2,CEBPA,1
S100A9,CEBPA,1
SPP1,CEBPA,1
STAR,CEBPA,1
CRP,CEBPB,1
CYP19A1,CEBPB,-1
GFER,CEBPB,-1
CXCL8,CEBPB,1
PTGS2,CEBPB,1
S100A9,CEBPB,1
SLC19A1,CEBPB,1
TNFAIP6,CEBPB,1
MMP9,KLF6,-1
NOS2,KLF6,1
BCL2,CREB1,1
IFNG,CREB1,1
IL10,CREB1,1
MUC5AC,CREB1,1
PCSK1,CREB1,1
UXT,CREB1,1
NOLC1,CREB1,1
ATF3,ATF2,1
IFNG,ATF2,1
NOS3,ATF2,-1
CD247,CREM,-1
IL2,CREM,-1
ECT2,CUX1,-1
ECT2,CUX1,-1
RACGAP1,CUX1,-1
RACGAP1,CUX1,-1
ASNS,DDIT3,-1
ASNS,DDIT3,-1
TNFRSF10B,DDIT3,1
APAF1,E2F1,1
AR,E2F1,-1
BCL2,E2F1,1
ECT2,E2F1,1
FGFR1,E2F1,1
HSPA5,E2F1,-1
MT1G,E2F1,1
MYCN,E2F1,1
RAD51,E2F1,1
TP53BP2,E2F1,1
TNFSF11,E2F1,1
DIRAS3,E2F1,-1
KIF23,E2F1,1
RACGAP1,E2F1,1
MAP3K5,E2F2,1
MYCN,E2F2,1
CDKN2A,E2F3,1
CDKN2A,E2F3,1
E2F1,E2F3,1
MAP3K5,E2F3,1
MYCN,E2F3,1
E2F1,E2F4,-1
MCM5,E2F4,1
MAP3K5,E2F4,1
TTK,E2F4,-1
P4HA2,E2F4,-1
DIRAS3,E2F4,-1
TOPBP1,E2F4,-1
CDCA4,E2F4,1
CCNA2,E4F1,-1
ALOX5,EGR1,1
ATF3,EGR1,1
CCND1,EGR1,1
CD19,EGR1,1
CDKN1A,EGR1,1
F3,EGR1,1
FN1,EGR1,1
HIF1A,EGR1,1
IGF2,EGR1,1
LDLR,EGR1,1
MYB,EGR1,-1
SLC9A3,EGR1,1
TBXA2R,EGR1,1
VEGFA,EGR1,1
WNT4,EGR1,-1
EAPP,EGR1,1
VCP,ELF2,1
UTRN,EN1,-1
ZFHX3,ESR1,1
CCND1,ESR1,1
BCL2,ESR1,1
CYP1A1,ESR1,-1
CYP2C19,ESR1,-1
KDR,ESR1,1
NRF1,ESR1,1
ESR1,PGR,1
PMAIP1,ESR1,1
TERT,ESR1,1
ESR1,TFAP2C,1
TFF1,ESR1,1
TGFA,ESR1,1
VEGFA,ESR1,1
BTG2,ESR1,-1
FOXP1,ESR1,1
CD24,ESR1,-1
CYP19A1,ESRRA,1
ANGPT2,ETS1,1
BAX,ETS1,-1
CHUK,ETS1,1
MYB,ETS1,1
TBXA2R,ETS1,1
VWF,ETS1,1
AGTR1,ETV4,1
GH2,FOXF1,1
IGFBP1,FOXO1,1
PRL,FOXO1,1
BCL6,FOXO3,1
CCNG2,FOXO3,1
TXNIP,FOXO3,1
FBXO32,FOXO3,1
PTGS2,FOS,1
UGT2B15,FOSL2,1
CYP11B1,NR5A2,1
CYP19A1,NR5A1,1
MC2R,NR5A1,1
TOMM70,GABPA,1
CYBB,GATA1,1
EPO,GATA1,1
HBG1,GATA1,-1
TBXA2R,GATA1,1
WT1,GATA1,1
GFI1B,GATA1,1
AGGF1,GATA1,1
ADH1A,GATA2,1
CYBB,GATA2,-1
PPARG,GATA2,-1
WT1,GATA2,1
CD8A,GATA3,1
CD40LG,GATA3,1
EPO,GATA3,-1
PPARG,GATA3,-1
TEK,GATA3,1
ERBB2,GATA4,-1
IL5,GATA4,1
NOS3,GATA4,1
BAX,GFI1,-1
ATP1B1,NR3C1,-1
BGLAP,NR3C1,-1
ALAS2,HIF1A,1
ALDOA,HIF1A,1
GAPDH,HIF1A,1
LDHA,HIF1A,1
MET,HIF1A,1
MIF,HIF1A,1
PGK1,HIF1A,1
HSP90B1,HIF1A,1
BCL2,FOXA1,-1
HSPA1A,FOXA1,1
UGT2B17,FOXA1,1
FOXA2,CEBPA,1
CYP2C8,HNF4A,1
FABP2,HNF4A,1
GFER,HNF4A,-1
GH1,HNF4A,-1
RNASE2,HNF4A,1
NR1I2,HNF4A,1
C1QTNF5,HNF4A,1
HOXA10,HOXA11,-1
ASCL1,HES1,-1
PTGDS,HES1,-1
HSPA4,HSF1,1
BAG3,HSF1,-1
HSPA4,HSF2,1
CYBB,IRF8,1
PTEN,RBPJ,-1
GCK,PDX1,1
PDX1,PDX1,1
CYBB,IRF1,1
CCND1,JUN,1
NQO1,JUN,-1
IFNG,JUN,1
IL2,JUN,-1
CXCL8,JUN,1
ITGAX,JUN,1
MMP1,JUN,1
PGR,JUN,-1
PPARD,JUN,1
PTGS2,JUN,1
TP53,JUN,-1
UGT2B15,JUN,1
VEGFA,JUN,-1
EZR,JUN,1
PTGS2,JUNB,1
GADD45A,JUND,1
BGLAP,SMAD3,1
SMAD7,SMAD3,1
SERPINE1,SMAD3,1
BGLAP,SMAD4,1
SMAD7,SMAD4,1
ITGB7,MAF,1
MMP13,MAF,1
BIRC7,MITF,1
ATP1B1,NR3C2,-1
LMO2,MYB,1
CCNA1,MYB,1
KLF1,MYB,1
ALDH9A1,MYC,-1
BCL2,MYC,1
ZFP36L1,MYC,-1
CCNB1,MYC,1
CDC25C,MYC,1
CDKN1A,MYC,-1
CEBPA,MYC,-1
MYC,CEBPA,-1
RCC1,MYC,1
GADD45A,MYC,-1
EIF4E,MYC,1
GTF2H2,MYC,-1
H2AFZ,MYC,1
HMGN2,MYC,1
HNRNPA2B1,MYC,1
HSPA8,MYC,1
HSP90AA2P,MYC,1
MYC,JUN,-1
JUNB,MYC,-1
LTA4H,MYC,1
MYC,SMAD7,1
MGST1,MYC,1
MSN,MYC,-1
MTHFD1,MYC,1
MYC,MYBL2,1
MYC,MYC,-1
NAP1L1,MYC,1
PHB,MYC,1
SLC25A3,MYC,1
PPID,MYC,1
PTPA,MYC,-1
RARB,MYC,-1
RFC2,MYC,1
RPL3,MYC,1
RPL19,MYC,1
RPL26,MYC,1
RPS16,MYC,1
RPS19,MYC,1
SMN1,MYC,1
SNRPB,MYC,1
TERT,MYC,1
TFRC,MYC,1
TYMS,MYC,1
MYC,WT1,-1
UXT,MYC,1
YBX3,MYC,1
PSMG1,MYC,1
EIF3C,MYC,1
DDX18,MYC,1
NUP155,MYC,1
THRAP3,MYC,1
DLEU1,MYC,-1
UBE2C,MYC,1
CBX3,MYC,1
EXOSC8,MYC,1
MYC,HBP1,-1
BRD7,MYC,-1
DPY30,MYC,1
CTSD,MYCN,1
MCM2,MYCN,1
MCM3,MYCN,1
MCM4,MYCN,1
MCM5,MYCN,1
MCM6,MYCN,1
MCM7,MYCN,1
TP53,MYCN,1
NES,MYCN,1
MCM8,MYCN,1
ICAM1,NFATC1,1
IL1B,NFIL3,-1
BRCA2,NFKB1,1
CD40LG,NFKB1,1
CRP,NFKB1,1
EGFR,NFKB1,1
IFNG,NFKB1,1
CXCL8,NFKB1,1
IRF7,NFKB1,1
NOS3,NFKB1,1
CCL11,NFKB1,1
SELE,NFKB1,1
VCAM1,NFKB1,1
IL17C,NFKB1,1
FMR1,NRF1,1
AGT,YBX1,1
EGFR,YBX1,1
MMP13,YBX1,-1
RBP3,OTX2,1
PRDM1,PAX5,-1
XBP1,PAX5,-1
BCL2,PGR,1
ABCC6,PLAG1,1
ABCC6,PLAGL1,1
HBG1,POU2F1,-1
PTGIR,POU2F1,1
UGT2B7,POU2F1,1
VCAM1,POU2F1,-1
VWF,POU2F1,1
CCND1,POU4F2,1
CYP1A1,PPARA,1
SAT1,PPARD,1
BCL2,PPARG,1
SAT1,PPARG,1
TP53,PPARG,1
AR,PURA,-1
CXCR5,RARA,1
HSD17B2,RARA,1
NR1I3,RARA,1
EPHB2,REL,-1
CCL2,REL,1
SELE,REL,1
BIRC3,RELA,1
CCND1,RELA,1
BCL2A1,RELA,1
BRCA2,RELA,1
COL1A2,RELA,-1
F3,RELA,1
ICAM1,RELA,1
IFNG,RELA,1
IL1B,RELA,1
CXCL8,RELA,1
IRF7,RELA,1
MAT2A,RELA,1
NOS3,RELA,1
PLAU,RELA,1
CCL2,RELA,1
CCL11,RELA,1
SELE,RELA,1
VCAM1,RELA,1
SIRT1,RELA,1
IL17C,RELA,1
COL1A2,RFX1,1
COL1A2,RFX5,-1
NR1D1,RORA,1
KLK3,RREB1,-1
CXCR5,RXRA,1
HSD17B2,RXRA,1
NOL7,RXRA,1
CDH1,SNAI1,-1
ALOX5,SP1,1
KLK3,SP1,1
FASLG,SP1,1
ATP2A2,SP1,1
CCND1,SP1,1
BCL2,SP1,1
BLMH,SP1,1
BSG,SP1,1
CA9,SP1,1
CD97,SP1,1
CD151,SP1,1
CDKN1A,SP1,1
CDKN1B,SP1,1
CDKN2A,SP1,1
CDKN2A,SP1,1
CDKN2B,SP1,1
CTSD,SP1,1
CTSL,SP1,1
SP1,E2F1,1
F10,SP1,1
FMR1,SP1,1
GAST,SP1,1
GFER,SP1,1
HPR,SP1,1
HSD3B1,SP1,1
HSD17B2,SP1,1
IGF2,SP1,1
ITGA5,SP1,1
IVL,SP1,1
KDR,SP1,-1
LDLR,SP1,1
LHCGR,SP1,1
LRP5,SP1,1
LTC4S,SP1,1
MAOB,SP1,1
CD99,SP1,1
MIF,SP1,1
MMP2,SP1,1
MPO,SP1,1
MUC2,SP1,1
NOS3,SP1,1
OPRM1,SP1,1
SERPINE1,SP1,1
PGR,SP1,1
ABCB1,SP1,1
PTGIR,SP1,1
RARA,SP1,1
CXCL5,SP1,1
SKP2,SP1,1
SLC19A1,SP1,1
SMPD1,SP1,1
SOD1,SP1,1
VAMP2,SP1,1
ADAM17,SP1,1
TAF7,SP1,1
TBXA2R,SP1,1
TERT,SP1,1
THBD,SP1,1
TIMP1,SP1,1
TNF,SP1,1
EZR,SP1,1
IRS2,SP1,1
ABCC3,SP1,1
BRD7,SP1,1
PADI1,SP1,1
UGT1A4,SP1,1
EAPP,SP1,1
MMP9,SP2,-1
ALPL,SP3,1
KLK3,SP3,1
CD97,SP3,1
CDKN1A,SP3,1
CTSL,SP3,1
HSD17B2,SP3,1
KDR,SP3,1
LCAT,SP3,1
LTC4S,SP3,1
MAOB,SP3,-1
NOS3,SP3,1
OPRM1,SP3,1
TFF1,SP3,1
PADI1,SP3,1
NOX4,SP3,1
EAPP,SP3,-1
KDR,SP4,1
IFIT3,SPI1,1
PTGIR,SPI1,1
PARG,SPI1,-1
CETP,SREBF1,1
LRP1,SREBF1,-1
LRP1,SREBF2,-1
MTTP,SREBF2,-1
PON1,SREBF2,1
ACOT7,SREBF2,1
NPC1L1,SREBF2,1
FCGRT,STAT1,-1
NR1H4,STAT1,-1
BIRC5,STAT3,1
CRP,STAT3,1
VEGFA,STAT3,1
KLF11,STAT3,1
IGF1,STAT5A,1
IGF1,STAT5B,1
CCL17,STAT6,1
IGFBP1,HNF1A,1
PDX1,HNF1A,1
MTTP,HNF1A,1
UGT2B7,HNF1A,1
UGT2B17,HNF1A,1
UGT1A10,HNF1A,1
UGT1A8,HNF1A,1
UGT1A9,HNF1A,1
SLC22A9,HNF1A,1
SLC22A10,HNF1A,1
MYC,TCF7L2,1
GLCE,TCF7L2,1
SPRR1B,ZEB1,1
MSLN,TEAD1,1
CDH1,TFAP2A,1
IGFBP5,TFAP2A,1
NME3,TFAP2A,1
TAF7,TFAP2A,1
VEGFA,TFAP2A,1
PTGDS,TFAP2B,1
TF,TFCP2,1
APOC3,NR2F1,-1
EPO,NR2F1,-1
CGA,THRB,-1
SFTPB,NKX2-1,1
BIRC5,TP53,-1
CASP1,TP53,1
CDK1,TP53,-1
CDKN1A,TP53,1
DUSP1,TP53,1
SFN,TP53,1
GSTP1,TP53,1
HNF4A,TP53,-1
IFI16,TP53,1
CD82,TP53,1
MDM2,TP53,1
MMP2,TP53,1
MUC2,TP53,1
TP53,MYC,1
MYC,TP53,-1
OGG1,TP53,1
PCNA,TP53,1
PDGFRB,TP53,1
RB1,TP53,-1
TP53,TP53,1
TNFRSF10A,TP53,1
GDF15,TP53,1
RASSF1,TP53,-1
BBC3,TP53,1
BBC3,TP53,1
AIFM2,TP53,1
CDKN1A,TP73,1
CYP3A4,USF1,1
HOXB4,USF1,1
P4HA1,USF1,1
PTGDS,USF1,1
S100A6,USF1,1
SLC22A2,USF1,1
TGFB2,USF1,1
SERBP1,USF1,1
HMOX1,USF2,1
HOXB4,USF2,1
P4HA1,USF2,1
TERT,USF2,1
TGFB2,USF2,1
CDKN1B,VDR,1
CYP3A4,VDR,1
CYP7A1,VDR,-1
EGFR,VDR,-1
IL10,VDR,-1
WT1,ETS1,1
ETS1,WT1,1
IGF1R,WT1,-1
IGF2,WT1,-1
WT1,MYB,1
MYB,WT1,-1
PDGFA,WT1,-1
TBXA2R,WT1,-1
CETP,YY1,1
FDPS,YY1,-1
HSD3B2,YY1,1
HSPA5,YY1,1
LDLR,YY1,-1
OPRM1,YY1,1
PRDM2,YY1,1
TERT,MZF1,-1
MMP3,ZNF148,1
ABCA1,ZNF202,-1
ALDOA,ZNF224,-1
INS,KLF11,1
CDKN1A,TP63,1
VDR,TP63,1
KLF4,TP63,-1
CYP3A4,NR1I2,1
TNF,LRRFIP1,-1
BIRC5,KLF4,-1
CCND1,KLF4,1
CDKN1A,KLF4,1
GPA33,KLF4,1
SYTL4,ONECUT2,-1
UGT1A1,NR1I3,1
UGT2B4,NR1H4,-1
ABCG1,NR1H3,1
MMP10,ZNF267,-1
TERT,CTCF,-1
CD2,TCFL5,-1
LRP5,KLF15,1
CCR4,FOXP3,1
